geneID	gene_name	CC7_fpkm	CC8_fpkm	CC1_fpkm	CC2_fpkm	CC3_fpkm	CC4_fpkm	CC5_fpkm	CC6_fpkm	IT2_fpkm	IT1_fpkm	IT3_fpkm	IT4_fpkm	IT5_fpkm	IT6_fpkm	IT7_fpkm	ACLF1_fpkm	ACLF2_fpkm	ACLF3_fpkm	ACLF4_fpkm	ACLF5_fpkm	ACLF6_fpkm	ACLF7_fpkm	ACLF8_fpkm	ACLF10_fpkm	ACLF11_fpkm	ACLF12_fpkm	ACLF14_fpkm	ACLF15_fpkm	DC1_fpkm	DC2_fpkm	DC3_fpkm	DC4_fpkm	DC5_fpkm	DC6_fpkm	DC7_fpkm	DC8_fpkm	DC9_fpkm	DC10_fpkm	DC11_fpkm	DC12_fpkm	CHB1_fpkm	CHB2_fpkm	CHB3_fpkm	CHB4_fpkm	CHB5_fpkm	CHB6_fpkm	CHB7_fpkm	CHB8_fpkm	CHB9_fpkm	CHB10_fpkm	CC7_count	CC8_count	CC1_count	CC2_count	CC3_count	CC4_count	CC5_count	CC6_count	IT2_count	IT1_count	IT3_count	IT4_count	IT5_count	IT6_count	IT7_count	ACLF1_count	ACLF2_count	ACLF3_count	ACLF4_count	ACLF5_count	ACLF6_count	ACLF7_count	ACLF8_count	ACLF10_count	ACLF11_count	ACLF12_count	ACLF14_count	ACLF15_count	DC1_count	DC2_count	DC3_count	DC4_count	DC5_count	DC6_count	DC7_count	DC8_count	DC9_count	DC10_count	DC11_count	DC12_count	CHB1_count	CHB2_count	CHB3_count	CHB4_count	CHB5_count	CHB6_count	CHB7_count	CHB8_count	CHB9_count	CHB10_count	CC_vs_CHB.log2FoldChange	CC_vs_CHB.pvalue	CC_vs_CHB.padj	CC_vs_CHB.regulated	DC_vs_CHB.log2FoldChange	DC_vs_CHB.pvalue	DC_vs_CHB.padj	DC_vs_CHB.regulated	ACLF_vs_CHB.log2FoldChange	ACLF_vs_CHB.pvalue	ACLF_vs_CHB.padj	ACLF_vs_CHB.regulated	DC_vs_CC.log2FoldChange	DC_vs_CC.pvalue	DC_vs_CC.padj	DC_vs_CC.regulated	ACLF_vs_CC.log2FoldChange	ACLF_vs_CC.pvalue	ACLF_vs_CC.padj	ACLF_vs_CC.regulated	ACLF_vs_DC.log2FoldChange	ACLF_vs_DC.pvalue	ACLF_vs_DC.padj	ACLF_vs_DC.regulated	chr	start	end	strand	gene_biotype	gene_description	KEGG	KEGG_pathway	GO	TF_Family
ENSG00000000003	TSPAN6	0.067	0.128	0.0093	0.1069	0.0502	0.0253	0.0518	0.192	0.2097	0.0377	0.0381	0.154	0.1738	0.1234	0.1041	0.0664	0.0365	0.0352	0.1024	0.0848	0.141	0.019	0.0546	0.0796	0.0154	0.1984	0.0088	0.2294	0.0313	0.0252	0	0.0562	0.0784	0	0.0403	0.0165	0.0884	0.0349	0.1116	0.0868	0.1075	0.0621	0.1526	0.0818	0.1397	0.1488	0.2372	0.0653	0.0661	0.0811	8	15	1	12	5	2	5	22	23	4	4	16	18	12	13	8	4	4	11	10	14	2	6	11	2	25	1	24	4	3	0	6	10	0	5	2	9	4	13	10	12	7	19	9	15	15	20	7	8	9	-0.62487	0.1111043	0.734883936	false	-0.75061	0.047099952	0.196698749	down	-0.9357	0.011892124	0.071369758	down	-0.12146	0.833590932	0.946545983	false	-0.30543	0.58143447	0.806092234	false	-0.18975	0.718459042	1	false	X	100627108	100639991	-	protein_coding	tetraspanin 6 [Source:HGNC Symbol%3BAcc:HGNC:11858]	K17295: TSPAN6; tetraspanin-6	NA	GO:0005515: protein binding; GO:0005887: integral component of plasma membrane; GO:0039532: negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway; GO:0043123: positive regulation of I-kappaB kinase/NF-kappaB signaling; GO:0070062: extracellular exosome; GO:1901223: negative regulation of NIK/NF-kappaB signaling	NA
ENSG00000000419	DPM1	6.6263	3.4563	2.4792	2.2909	4.1659	3.289	4.3329	3.5131	3.6645	3.1662	3.3294	3.7517	5.2691	3.4791	2.944	1.9392	4.5168	3.7136	2.8815	4.4553	4.5276	4.16	3.6741	3.5722	2.02	2.2855	3.21	4.1795	3.0143	4.5359	3.0427	3.0212	2.3242	2.559	3.1124	3.1636	3.3467	3.6339	3.6115	6.6795	3.6287	3.3759	3.2237	3.9271	3.6567	3.9233	5.6892	6.6421	6.5014	3.6302	1617	828	544	526	848	532	856	823	822	687	714	797	1116	692	752	478	1012	864	633	1075	919	894	825	1009	537	589	748	894	787	1106	672	660	606	572	789	786	697	851	860	1574	828	778	821	884	803	809	981	1457	1608	824	-0.25538	0.222051776	0.780376911	false	-0.22562	0.187294317	0.432010186	false	-0.37351	0.026958237	0.120616259	down	0.02052	0.919337445	0.974158147	false	-0.12391	0.51962131	0.768274842	false	-0.14927	0.354053332	0.871599726	false	20	50934867	50959140	-	protein_coding	dolichyl-phosphate mannosyltransferase subunit 1%2C catalytic [Source:HGNC Symbol%3BAcc:HGNC:3005]	K00721: DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	hsa00510: N-Glycan biosynthesis - Homo sapiens (human); hsa01100: Metabolic pathways - Homo sapiens (human)	GO:0004169: dolichyl-phosphate-mannose-protein mannosyltransferase activity; GO:0004582: dolichyl-phosphate beta-D-mannosyltransferase activity; GO:0004582: dolichyl-phosphate beta-D-mannosyltransferase activity; GO:0004582: dolichyl-phosphate beta-D-mannosyltransferase activity; GO:0005515: protein binding; GO:0005537: mannose binding; GO:0005634: nucleus; GO:0005783: endoplasmic reticulum; GO:0005789: endoplasmic reticulum membrane; GO:0005789: endoplasmic reticulum membrane; GO:0005789: endoplasmic reticulum membrane; GO:0005789: endoplasmic reticulum membrane; GO:0006506: GPI anchor biosynthetic process; GO:0006506: GPI anchor biosynthetic process; GO:0016020: membrane; GO:0016020: membrane; GO:0018279: protein N-linked glycosylation via asparagine; GO:0019348: dolichol metabolic process; GO:0019348: dolichol metabolic process; GO:0019673: GDP-mannose metabolic process; GO:0033185: dolichol-phosphate-mannose synthase complex; GO:0033185: dolichol-phosphate-mannose synthase complex; GO:0035268: protein mannosylation; GO:0035269: protein O-linked mannosylation; GO:0035269: protein O-linked mannosylation; GO:0043178: alcohol binding	NA
ENSG00000000457	SCYL3	2.8883	3.0603	4.8582	5.5292	2.9793	2.7912	2.715	3.1467	3.076	3.7204	2.0926	2.7659	2.1825	4.6276	4.5162	4.4887	1.6601	1.2686	1.3067	2.2118	1.9852	2.8282	2.4487	2.19	1.9872	2.3689	3.2676	2.6147	3.4791	2.5811	2.6788	2.2394	3.4993	2.8156	2.9824	3.1189	2.7566	3.2284	2.2525	2.1561	3.1893	2.8362	1.9262	2.5145	2.9703	2.9998	2.3369	2.0151	1.3077	2.078	523	544	791	942	450	335	398	547	512	599	333	436	343	683	856	821	276	219	213	396	299	451	408	459	392	453	565	415	674	467	439	363	677	467	561	575	426	561	398	377	540	485	364	420	484	459	299	328	240	350	0.25817	0.104057643	0.732671031	false	-0.038	0.747436204	0.879313914	false	-0.19635	0.200116077	0.423812067	false	-0.30139	0.030119978	0.191500729	down	-0.45539	0.020127372	0.144610752	down	-0.15855	0.286482586	0.844318519	false	1	169849631	169894267	-	protein_coding	SCY1 like pseudokinase 3 [Source:HGNC Symbol%3BAcc:HGNC:19285]	K17542: SCYL3; SCY1-like protein 3	NA	GO:0000139: Golgi membrane; GO:0005515: protein binding; GO:0005524: ATP binding; GO:0005737: cytoplasm; GO:0005794: Golgi apparatus; GO:0006468: protein phosphorylation; GO:0006954: inflammatory response; GO:0008104: protein localization; GO:0016477: cell migration; GO:0021522: spinal cord motor neuron differentiation; GO:0030027: lamellipodium; GO:0042802: identical protein binding; GO:0048666: neuron development	NA
ENSG00000000460	C1orf112	0.9933	1.0831	1.3029	1.5565	1.1755	1.2296	1.2112	0.849	1.4962	1.1959	1.0216	0.8996	0.8656	1.5858	1.6788	1.204	0.8322	0.6879	0.778	1.1334	0.7885	1.2508	0.9549	1.1112	0.5085	0.7054	1.4603	1.2494	1.214	1.1088	1.5337	0.8677	0.9535	1.2026	1.4772	0.7755	1.4399	1.2938	0.5481	0.9297	1.3006	2.0496	0.903	1.0768	0.9835	1.4467	0.9371	0.9633	0.6785	0.7393	156	167	184	230	154	128	154	128	216	167	141	123	118	203	276	191	120	103	110	176	103	173	138	202	87	117	219	172	204	174	218	122	160	173	241	124	193	195	84	141	191	304	148	156	139	192	104	136	108	108	-0.0679	0.635911727	0.919762379	false	-0.06534	0.631429503	0.810957181	false	-0.30375	0.025507699	0.116246934	down	-0.0038	0.980413835	0.993627195	false	-0.23828	0.109519464	0.355850031	false	-0.23982	0.109258593	0.690779234	false	1	169662007	169854080	+	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol%3BAcc:HGNC:25565]	NA	NA	GO:0005515: protein binding	NA
ENSG00000000938	FGR	144.2027	166.1918	253.8434	163.2989	135.7932	193.4436	165.7519	153.583	108.5279	168.953	184.885	71.514	183.3032	197.3669	196.259	258.6147	193.3179	298.0333	440.6689	212.6381	70.9277	201.7775	266.865	229.1212	364.244	178.412	264.4794	262.1065	231.6296	230.662	233.0521	302.7937	240.6216	261.9619	260.8597	218.4022	172.6011	143.8226	204.6976	163.149	176.6218	151.0419	106.8568	196.9358	161.0576	116.0784	149.391	131.7992	197.6138	102.5767	12830	14516	20308	13670	10078	11408	11939	13118	8876	13366	14456	5539	14155	14313	18278	23242	15792	25281	35295	18706	5249	15810	21848	23596	35304	16764	22470	20441	22049	20506	18766	24117	22874	21349	24110	19784	13106	12280	17772	14017	14694	12691	9922	16163	12895	8727	9392	10541	17820	8489	0.08402	0.562890814	0.899508103	false	0.46767	0.002451068	0.033811618	up	0.79953	3.88062E-07	7.75201E-05	up	0.37829	0.046294973	0.240686282	up	0.71382	0.000188341	0.009552603	up	0.32673	0.088322934	0.65658276	false	1	27612064	27635185	-	protein_coding	FGR proto-oncogene%2C Src family tyrosine kinase [Source:HGNC Symbol%3BAcc:HGNC:3697]	K08891: FGR, SRC2; tyrosine-protein kinase Fgr [EC:2.7.10.2]	hsa04062: Chemokine signaling pathway - Homo sapiens (human)	GO:0001784: phosphotyrosine residue binding; GO:0001784: phosphotyrosine residue binding; GO:0001819: positive regulation of cytokine production; GO:0002768: immune response-regulating cell surface receptor signaling pathway; GO:0002862: negative regulation of inflammatory response to antigenic stimulus; GO:0004713: protein tyrosine kinase activity; GO:0004713: protein tyrosine kinase activity; GO:0004713: protein tyrosine kinase activity; GO:0004713: protein tyrosine kinase activity; GO:0004715: non-membrane spanning protein tyrosine kinase activity; GO:0004715: non-membrane spanning protein tyrosine kinase activity; GO:0004715: non-membrane spanning protein tyrosine kinase activity; GO:0005102: signaling receptor binding; GO:0005515: protein binding; GO:0005524: ATP binding; GO:0005576: extracellular region; GO:0005743: mitochondrial inner membrane; GO:0005758: mitochondrial intermembrane space; GO:0005829: cytosol; GO:0005856: cytoskeleton; GO:0005886: plasma membrane; GO:0005886: plasma membrane; GO:0006468: protein phosphorylation; GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway; GO:0007229: integrin-mediated signaling pathway; GO:0007229: integrin-mediated signaling pathway; GO:0007229: integrin-mediated signaling pathway; GO:0008360: regulation of cell shape; GO:0009615: response to virus; GO:0014068: positive regulation of phosphatidylinositol 3-kinase signaling; GO:0015629: actin cytoskeleton; GO:0016235: aggresome; GO:0018108: peptidyl-tyrosine phosphorylation; GO:0019901: protein kinase binding; GO:0030154: cell differentiation; GO:0030282: bone mineralization; GO:0030335: positive regulation of cell migration; GO:0031234: extrinsic component of cytoplasmic side of plasma membrane; GO:0032587: ruffle membrane; GO:0032815: negative regulation of natural killer cell activation; GO:0034774: secretory granule lumen; GO:0034987: immunoglobulin receptor binding; GO:0034988: Fc-gamma receptor I complex binding; GO:0038096: Fc-gamma receptor signaling pathway involved in phagocytosis; GO:0043306: positive regulation of mast cell degranulation; GO:0043552: positive regulation of phosphatidylinositol 3-kinase activity; GO:0045087: innate immune response; GO:0045088: regulation of innate immune response; GO:0045859: regulation of protein kinase activity; GO:0046777: protein autophosphorylation; GO:0048705: skeletal system morphogenesis; GO:0050764: regulation of phagocytosis; GO:0050830: defense response to Gram-positive bacterium; GO:0051450: myoblast proliferation; GO:0070062: extracellular exosome	NA
ENSG00000000971	CFH	0.3706	0.1317	0.0277	0.2485	0.0775	0.1013	0.0829	0.1606	0.1218	0.1203	0.0991	0.36	0.1118	0.2594	0.1022	0.0591	0.1138	0.0704	0.0276	0.0528	0.1196	0.1101	0.0541	0.0924	0.0297	0.0447	0.138	0.0255	0.0953	0.0473	0.022	0.0861	0.1047	0.0977	0.1748	0.1979	0.1632	0.0648	0.0433	0.1442	0.0771	0.1633	0.0882	0.1294	0.1188	0.0854	0.0739	0.2186	0.0957	0.1283	149	52	10	94	26	27	27	62	45	43	35	126	39	85	43	24	42	27	10	21	40	39	20	43	13	19	53	9	41	19	8	31	45	36	73	81	56	25	17	56	29	62	37	48	43	29	21	79	39	48	-0.04322	0.901051728	0.982705839	false	-0.66952	0.020429072	0.122254359	down	-0.84104	0.002942275	0.029308512	down	-0.63972	0.102158307	0.368676929	false	-0.80957	0.032728331	0.187570434	down	-0.17138	0.590329206	0.940680018	false	1	196651754	196752476	+	protein_coding	complement factor H [Source:HGNC Symbol%3BAcc:HGNC:4883]	K04004: CFH, HF1; complement factor H	hsa04610: Complement and coagulation cascades - Homo sapiens (human); hsa05150: Staphylococcus aureus infection - Homo sapiens (human)	GO:0001851: complement component C3b binding; GO:0005515: protein binding; GO:0005576: extracellular region; GO:0005615: extracellular space; GO:0005615: extracellular space; GO:0006508: proteolysis; GO:0006956: complement activation; GO:0006956: complement activation; GO:0006957: complement activation, alternative pathway; GO:0008201: heparin binding; GO:0030449: regulation of complement activation; GO:0030451: regulation of complement activation, alternative pathway; GO:0042802: identical protein binding; GO:0043395: heparan sulfate proteoglycan binding; GO:0070062: extracellular exosome; GO:0072562: blood microparticle; GO:1903659: regulation of complement-dependent cytotoxicity; GO:1905370: serine-type endopeptidase complex	NA
ENSG00000001036	FUCA2	10.0081	8.8499	12.5533	8.5612	6.9437	9.0229	8.2526	5.4721	4.3374	9.1802	10.0548	3.6362	11.5154	12.543	9.7412	12.255	10.871	15.8942	17.1475	11.2527	5.0525	7.8465	13.2771	7.9481	13.4281	5.2931	11.4964	10.2345	11.2302	11.9978	10.4034	13.2411	12.6069	14.6466	12.3701	11.3513	10.7482	8.0006	11.4846	10.9361	10.2709	7.2172	3.1364	10.207	6.9454	5.0213	8.0444	9.0657	8.2797	3.7796	743	645	838	598	430	444	496	390	296	606	656	235	742	759	757	919	741	1125	1146	826	312	513	907	683	1086	415	815	666	892	890	699	880	1000	996	954	858	681	570	832	784	713	506	243	699	464	315	422	605	623	261	0.08121	0.670438648	0.927649422	false	0.49622	0.002451188	0.033811618	up	0.59099	0.001416378	0.018486949	up	0.40875	0.009320439	0.095254681	up	0.50701	0.009168844	0.092219397	up	0.09035	0.595069057	0.941130711	false	6	143494812	143511720	-	protein_coding	alpha-L-fucosidase 2 [Source:HGNC Symbol%3BAcc:HGNC:4008]	K01206: FUCA; alpha-L-fucosidase [EC:3.2.1.51]	hsa00511: Other glycan degradation - Homo sapiens (human); hsa04142: Lysosome - Homo sapiens (human)	GO:0004560: alpha-L-fucosidase activity; GO:0004560: alpha-L-fucosidase activity; GO:0005515: protein binding; GO:0005576: extracellular region; GO:0005615: extracellular space; GO:0005764: lysosome; GO:0005788: endoplasmic reticulum lumen; GO:0006004: fucose metabolic process; GO:0006004: fucose metabolic process; GO:0009617: response to bacterium; GO:0016139: glycoside catabolic process; GO:0016139: glycoside catabolic process; GO:0035578: azurophil granule lumen; GO:0070062: extracellular exosome; GO:2000535: regulation of entry of bacterium into host cell	NA
ENSG00000001461	NIPAL3	4.2074	5.3283	5.1245	7.4472	4.976	5.9753	5.0371	5.0443	5.2636	5.6873	4.2398	2.9928	3.356	5.286	6.4156	5.4429	3.3487	2.4738	2.2515	3.9811	3.9591	4.7316	3.759	3.8096	2.4844	5.4319	5.7279	4.0015	5.1047	4.0488	3.5224	3.8141	5.9749	5.1498	4.2838	5.7894	5.4229	4.2493	3.7727	2.6142	6.0225	5.0678	4.1517	4.5567	5.0351	5.793	3.7901	3.3079	1.9798	3.3142	1040	1293	1139	1732	1026	979	1008	1197	1196	1250	921	644	720	1065	1660	1359	760	583	501	973	814	1030	855	1090	669	1418	1352	867	1350	1000	788	844	1578	1166	1100	1457	1144	1008	910	624	1392	1183	1071	1039	1120	1210	662	735	496	762	0.19256	0.140330655	0.747766874	false	-0.06555	0.57201172	0.773035095	false	-0.12903	0.354091297	0.589563063	false	-0.26516	0.038797637	0.21957196	down	-0.32388	0.054741286	0.247549912	false	-0.06314	0.670032762	0.949826461	false	1	24415802	24472976	+	protein_coding	NIPA like domain containing 3 [Source:HGNC Symbol%3BAcc:HGNC:25233]	K22733: NIPA, SLC57A2S; magnesium transporter	NA	GO:0005515: protein binding; GO:0015095: magnesium ion transmembrane transporter activity; GO:0015693: magnesium ion transport; GO:0016020: membrane; GO:0016021: integral component of membrane; GO:1903830: magnesium ion transmembrane transport	NA
ENSG00000001561	ENPP4	7.1293	4.5607	4.861	5.1588	5.0535	7.1747	4.7317	3.4531	3.8467	4.9986	3.3344	4.6354	3.2159	3.4444	5.8412	1.6207	2.7993	1.7943	1.1184	2.7236	3.5328	6.1343	3.4336	2.3265	2.0662	2.5654	3.403	2.2131	3.9706	3.4815	4.7843	1.8927	2.2599	1.3493	1.1977	3.5454	5.3708	3.3605	1.9041	4.0602	3.1775	4.7063	2.7215	4.5342	4.8481	4.1749	4.5061	3.9883	5.8146	3.0623	871	547	534	593	515	581	468	405	432	543	358	493	341	343	747	200	314	209	123	329	359	660	386	329	275	331	397	237	519	425	529	207	295	151	152	441	560	394	227	479	363	543	347	511	533	431	389	438	720	348	0.20968	0.196539446	0.767907334	false	-0.51997	0.005426118	0.055014577	down	-0.6292	0.000482286	0.009187974	down	-0.73747	0.001508494	0.032243506	down	-0.84301	9.87403E-05	0.006185206	down	-0.1095	0.638466443	0.948494273	false	6	46129989	46146688	+	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol%3BAcc:HGNC:3359]	K18424: ENPP4; ectonucleotide pyrophosphatase/phosphodiesterase family member 4 [EC:3.6.1.29]	hsa00230: Purine metabolism - Homo sapiens (human); hsa01100: Metabolic pathways - Homo sapiens (human)	GO:0005515: protein binding; GO:0005886: plasma membrane; GO:0007596: blood coagulation; GO:0016020: membrane; GO:0016021: integral component of membrane; GO:0030194: positive regulation of blood coagulation; GO:0046130: purine ribonucleoside catabolic process; GO:0046872: metal ion binding; GO:0047710: bis(5'-adenosyl)-triphosphatase activity; GO:0070062: extracellular exosome; GO:0101003: ficolin-1-rich granule membrane	NA
ENSG00000001629	ANKIB1	9.4297	7.8184	8.1756	9.3169	8.7698	9.1971	7.7969	7.3897	8.2548	8.152	6.4744	7.1564	6.431	7.8452	8.1976	5.6073	6.1801	4.921	5.2003	7.4506	6.7229	8.7623	6.871	6.12	4.7507	5.8746	8.9915	6.6907	6.9913	7.6198	7.3383	6.4937	6.6252	6.5149	8.0523	8.4179	7.9869	6.8187	5.3984	7.6821	7.4822	8.2637	7.0934	8.4545	8.2092	8.4014	6.8072	8.3955	6.8725	7.4222	1833	1492	1429	1704	1422	1185	1227	1379	1475	1409	1106	1211	1085	1243	1668	1101	1103	912	910	1432	1087	1500	1229	1377	1006	1206	1669	1140	1454	1480	1291	1130	1376	1160	1626	1666	1325	1272	1024	1442	1360	1517	1439	1516	1436	1380	935	1467	1354	1342	0.04115	0.645982481	0.922189226	false	-0.16634	0.029277562	0.149796738	down	-0.24654	0.008140001	0.056969143	down	-0.21506	0.002396689	0.043003787	down	-0.29128	0.004639441	0.061200159	down	-0.08102	0.366852572	0.875725121	false	7	92245974	92401383	+	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:22215]	K11967: ANKIB1; ankyrin repeat and IBR domain-containing protein 1 [EC:2.3.2.31]	NA	GO:0000151: ubiquitin ligase complex; GO:0000209: protein polyubiquitination; GO:0005515: protein binding; GO:0005737: cytoplasm; GO:0006511: ubiquitin-dependent protein catabolic process; GO:0031624: ubiquitin conjugating enzyme binding; GO:0032436: positive regulation of proteasomal ubiquitin-dependent protein catabolic process; GO:0046872: metal ion binding; GO:0061630: ubiquitin protein ligase activity	NA
